name,brand,image_link,features,price,certificate_reps,product_type,content_by_ethos,certificates,packaging_type,ingredients,rating,url
"Active Conditioner Concentrate, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/19771_3265294b.256x256.jpg,"For damaged & dry hair,Nourishes your hair,Adds volume and leaves hair silky soft","€ 13,89","AIAB,Leaping Bunny,Nickel tested,Unisex,Vegan",Hair Care,"Nickel tested,     Unisex,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",Tube,"Aqua (Water),Behenamidopropyl Dimethylamine,,Phaseolus vulgaris extract,,,Chamomilla Recutita (Matricaria) Flower Extract,,Citrus Medica Limonum (Lemon) Peel Oil,Glycerin,Xanthan Gum,Limonene,Linalool,Sodium Dehydroacetate,Sodium benzoate","4,6",https://www.ecco-verde.com/biofficina-toscana/active-conditioner-concentrate
"Micro-Ialuron Sebo-Lift Booster Serum, 50 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/52287_00a88ebd.256x256.jpg,"For oily & combination skin,Suitable for acne-prone skin & large pores,Ensures freshness & suppleness,Ultra-light texture","€ 34,49","AIAB,Nickel tested,Unisex",Serums,"Nickel tested,     Unisex",AIAB,,"Aqua (Water),,,Dicaprylyl Ether,Glycerin,Quercus robur extract,,Arnica Montana (Arnica) Flower Extract,,,,Prunus Spinosa Fruit Extract,Plantago Major Leaf Extract,Ruscus Aculeatus Root Extract,Allantoin,Betaine,Bisabolol,Sodium Ascorbyl Phosphate,Tocopheryl Acetate,linum usitatissimum seed oil,,Zinc Gluconate,Xanthan Gum,Glyceryl Linoleate,Glyceryl Linolenate,Potassium Chloride,Magnesiumgluconat,Calcium Gluconate,Sclerotium Gum (Amigel),Ceramide 3,Pyrus Malus Fruit Extract,Citrus Limon (Lemon) Fruit Extract,Hydrolyzed Grape Fruit,Hydrolyzed Wheat Bran,tartaric acid,citricacid,,Potassium Azeloyl Diglycinate,,Lavandula Hybrida (Lavandin) Oil,Retinyl Palmitate,Serine,proline,Glycine,Parfum (Fragrance),Ethylhexylglycerin,Phenoxyethanol,Sodium benzoate,Sodium hydroxide,Linalool","3,9",https://www.ecco-verde.com/domus-olea-toscana/micro-ialuron-sebo-lift-booster-serum
"Conditioning Hair Repair Mask, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/19770_a0d471d8.256x256.jpg,"Suitable for curly, wavy & fine hair,Tames the hair,Increases volume & shine","€ 11,99","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",,"Aqua (Water),Behenamidopropyl Dimethylamine,Myristyl Alcohol,,,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,Hedera helix (Ivy) leaf/stem extract,,,Glycerin,Xanthan Gum,Sodium benzoate,Sodium Dehydroacetate,Linalool,Limonene","4,5",https://www.ecco-verde.com/biofficina-toscana/conditioning-hair-repair-mask
"Strengthening Hair Mask with Spirulina, 250 ml",Gyada Cosmetics,https://ec.nice-cdn.com/upload/image/product/large/default/131632_fb1e1300.256x256.jpg,"For brittle & thinning hair,Rich vitamin & minerals,Vegan & nickel tested","€ 19,99","AIAB,PETA Cruelty Free,Nickel tested,Vegan",Hair Care,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,PETA Cruelty Free",,"Aqua (Water),Myristyl Alcohol,Linum Usitatissimum Oil,,Helianthus Annuus (Sunflower) Seed Oil,,Behenamidopropyl Dimethylamine,,Avena Sativa (Oat) Leaf/Stalk Extract,Panax Ginseng Root Extract,,Spirulina Maxima Extract,Glycine Soja (Soybean) Protein,Hydrolyzed Wheat Protein,,Tocopheryl Acetate,Sodium PCA,Arginine Ferulate,valine,Tetrasodium Glutamate Diacetate,Parfum (Fragrance),Xanthan Gum,Sodium benzoate,citricacid","4,5",https://www.ecco-verde.com/gyada-cosmetics/strengthening-hair-mask-with-spirulina
"ELEMENTA VITAMIN Vitamin C 2%, 30 ml",Bioearth,"https://ec.nice-cdn.com/upload/image/product/large/default/122774_3340d400.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122775_5df8be17.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122774_3340d400.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/122775_5df8be17.128x128.jpg","Suitable for all 30+ skin types & mature skin,Stimulates collagen synthesis,Rich in antioxidants,Evens out the complexion",,"AIAB,Nickel tested,Unisex,Vegan",Serums,"Nickel tested,     Unisex,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),3-o-ethyl ascorbic acid,Cellulose Gum,,Phenethyl Alcohol,caprylyl glycol","4,5",https://www.ecco-verde.com/bioearth/elementa-vitamin-vitamin-c-2
"Anti-Aging Peeling Mask for Face & Body, 50 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/56631_dd5a6549.256x256.jpg,"Rich in antioxidants,Leaves your skin bright & soft,Ideal also for impure skin","€ 11,59","AIAB,AsureQuality ,Nickel tested",Body Scrubs,Nickel tested,"AIAB,AsureQuality ",Tube,"Aqua (Water),,Ethylhexyl Palmitate,Glycerin,,,Phenoxyethanol,Sodium Lauroyl Glutamate,Stearic Acid,Xanthan Gum,Sodium benzoate,Sodium Dehydroacetate,,,Limonene,,Linalool","4,5",https://www.ecco-verde.com/domus-olea-toscana/anti-aging-peeling-mask-for-face-body
"ELEMENTA EXFO Buffered Glycolic Acid 10%, 15 ml",Bioearth,https://ec.nice-cdn.com/upload/image/product/large/default/149482_77334481.256x256.png,"Ideal for mature & blemished skin,Refines & smooths the complexion,Stimulates the regeneration phase",,"AIAB,Nickel tested,Vegan",Serums,"Nickel tested,","AIAB,Vegan - Uncertified ",Pipette / Bottle with pipette,"Aqua (Water),glycolic acid,Cellulose Gum,Ammonium Hydroxide,,Phenethyl Alcohol,caprylyl glycol","4,5",https://www.ecco-verde.com/bioearth/elementa-exfo-buffered-glycolic-acid-10
"Protective, Volumizing Conditioner, 200 ml",Biofficina Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/28762_dd7579af.256x256.jpg,"For curly & straight hair,Hair manageability & fullness,Antioxidant properties","€ 12,99","AIAB,Leaping Bunny,Nickel tested,Vegan",Hair Care,"Nickel tested,     Vegan","AIAB,Leaping Bunny,Vegan - Uncertified ",Tube,"Aqua (Water),Myristyl Alcohol,Behenamidopropyl Dimethylamine,Glycerin,,,Hydrolyzed Grape Fruit,Hydrolyzed Olive Fruit,Citrus Aurantium Dulcis (Orange) Flower Extract,Citrus Medica Limonum (Lemon) Fruit Extract,,Juniperus Communis Fruit Extract,Xanthan Gum,Citrus Aurantium Dulcis (Orange) Peel Oil,Parfum (Fragrance),Dehydroacetic Acid,Limonene","4,4",https://www.ecco-verde.com/biofficina-toscana/protective-volumizing-conditioner
"Sebo-Lift Cleansing Cream, 150 ml",Domus Olea Toscana,https://ec.nice-cdn.com/upload/image/product/large/default/121802_ff0de27e.256x256.jpg,"For oily & blemished skin,Removes dead skin cells,With a fresh scent","€ 16,59","AIAB,AsureQuality ,Nickel tested",Facial Cleansers,Nickel tested,"AIAB,AsureQuality ",,"Aqua (Water),Helianthus Annuus (Sunflower) Seed Oil,Sodium Lauroyl Sarcosinate,Cocamidopropyl Betaine,Sodium Lauroyl Glutamate,Disodium Cocoamphodiacetate,Sorbitan Sesquicaprylate,Betaine,Glycerin,Cupressus Sempervirens Leaf/stem Extract,Hydrolyzed Eruca Sativa Leaf,,Xanthan Gum,Castanea sativa bark extract,,Zinc Gluconate,tartaric acid,Pyrus Malus Fruit Extract,Citrus Limon (Lemon) Fruit Extract,citricacid,Tocopheryl Acetate,Hydrolyzed Grape Fruit,Hydrolyzed Wheat Bran,Parfum (Fragrance),Sodium chloride,Sodium benzoate,Ethylhexylglycerin,Phenoxyethanol","4,5",https://www.ecco-verde.com/domus-olea-toscana/sebo-lift-cleansing-cream
"Strengthening Hair Balm with Spirulina, 200 ml",Gyada Cosmetics,https://ec.nice-cdn.com/upload/image/product/large/default/131631_1bbd5d73.256x256.jpg,"For brittle hair that is prone to split ends,Strengthening effects,Adds shine,Vegan & nickel tested","€ 16,99","AIAB,Nickel tested,Vegan",Hair Care,"Curly Girl Method Approved,     Nickel tested,     Vegan","AIAB,Vegan - Uncertified ",,"Aqua (Water),Myristyl Alcohol,Behenamidopropyl Dimethylamine,Linum Usitatissimum Oil,Helianthus Annuus (Sunflower) Seed Oil,,,Glycerin,,Avena Sativa (Oat) Leaf/Stalk Extract,Panax Ginseng Root Extract,Spirulina Maxima Extract,Hydrolyzed Wheat Protein,,Tocopheryl Acetate,Glycine Soja (Soybean) Protein,Arginine Ferulate,valine,Sodium Dehydroacetate,Sodium benzoate,Parfum (Fragrance),Xanthan Gum,citricacid","4,0",https://www.ecco-verde.com/gyada-cosmetics/strengthening-hair-balm-with-spirulina
